V1,V2,authors
0.005895821232490946,-0.010625970577277526,A Abu-Akel
-0.07510350637134988,-0.06391915935850707,A Aglinskas
0.01129005189765831,0.008809268289748432,A Agrawal
0.025702630082463214,-4.974747312357287e-4,A Aizenman
-0.005781599154677596,0.024402264118159746,A Akbarinia
-0.018745727373943567,-0.009655868965845608,A Albonico
0.006053083247610488,0.012813166063836269,A Allen
0.03785807854329653,-0.009885191520786511,A Allon
-0.03581054557663883,-0.042844692577127697,A Anderson
-0.017810196242618453,0.01745208345743313,A Anoosheh
-0.002794511199524427,0.037659038682548204,A Arleo
0.014614237959117779,-0.0028256392726536514,A Asgeirsson
-0.0012431213866730781,0.013339155867690853,A Astle
0.02068303636760122,-0.009182233379658565,A Bachoo
0.0017672304249908865,0.026758141523007414,A Baldwin
0.0014228583156570185,0.010482687829368575,A Baragchizadeh
0.00802364773986633,0.014271292033810416,A Barbot
0.010568771447038541,0.007348754898380042,A Barnas
-0.002254337116852501,0.011895892250171541,A Barsingerhorn
-0.040057810567983757,0.030921429350588253,A Bayat
0.006317160579706384,0.008203489380048015,A Bayliss
0.001685616149050898,0.012891812201995097,A Beers
-0.059524944987270546,-0.056121411768214995,A Bell
0.009137106930582945,0.0105031815134854,A Bendixen
0.011934139033368808,0.0027069101826799656,A Benedetto
-0.02014850760465404,0.02333054658120831,A Berardino
-0.00517014660456961,0.017363227971555074,A Berg
0.017349611681202946,-0.0025093585440283043,A Bertone
-0.03080360900576785,-0.02689698787262398,A Bester
-0.03581054557663867,-0.04284469257712757,A Beukers
0.006036126674290092,0.01963689676132617,A Bies
-0.008212069303098049,0.0063205232442527445,A Bond
-0.027845389062101142,0.030040656508693305,A Borji
-0.009312045539111568,0.022764553705899464,A Bornet
-0.024232133558267307,-0.009639016937107371,A Bosco
0.005361374728776834,0.020482702170994585,A Bourefis
-0.02826532038295542,0.034895093090581676,A Bovik
-0.02043674801645662,7.608447746009479e-5,A Brandt
0.001942782228066862,0.0164140400576186,A Bratch
0.006657957814029278,0.016669672947493757,A Brielmann
0.0034882174566581775,0.006983093367205095,A Brouwer
0.004384945959127329,0.010502826069025162,A Brown
0.0167547441175086,-0.039789687621505226,A Bruning
0.0091720438405738,0.011805486628673426,A Bruno
0.004180341971240328,0.020325134852738028,A Buckthought
-0.0017012045934461277,0.009803617914643788,A Buonocore
-0.0016768544650447323,0.011520619941267506,A Campbell
-0.0267711575438616,0.03142332471737388,A Canessa
-0.02116844072577926,-0.013169816604125674,A Caramazza
0.005747749129840121,0.012884245832406075,A Carr
