title,authors,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
The Fine Art of Conversation,"Saul Albert, Claude Heath, Patrick Healey,",2017,0.0016149642960083916,0.0016744301921196383,0.0017696497980393242,0.34340581217096017,0.0012144503710233372,7.363199225334666e-4,0.042899493515795244,4.891010198968305e-4,0.016591469070981177,7.818925707970047e-4,0.09796437032307956,0.0029781168923959903,0.001107660134052714,0.0022257686340966653,0.418294264028891,0.01914690826568087,0.002876910546298896,0.041202360024376335,0.002455390691911198,5.706675310621824e-4
Burstiness across multimodal human interaction reveals differences between verbal and non-verbal communication,"Drew Abney, Rick Dale, Chris Kello, Max Louwerse,",2017,6.515853392089872e-4,0.0015567120907232386,0.03363793592118992,0.026249513027846515,0.0017912670199797145,0.0023827579219411264,0.0010674424737163405,7.280561446028146e-4,0.008553325446089152,0.003010401068042234,0.17316620914249103,0.16090817979092764,0.038432170545963276,0.0035443494325403495,0.36400313060929157,0.04527616736716033,0.006042036671108287,0.12672145910904462,0.0011476687603594175,0.001129632117773188
Enactive Mechanistic Explanation of Social Cognition,"Ekaterina Abramova, Marc Slors, Iris van Rooij,",2017,0.0280228284972245,0.0015610542748677673,1.5979063904981427e-4,0.8525191640924931,1.8523959147767838e-4,3.2190412509228004e-4,5.905858069094951e-4,0.012244923715592517,0.02329547385385669,0.003453190193951672,0.0013414773106261895,6.11573843793559e-4,0.01753987439803514,0.002534650263458105,0.008896398919188132,0.0350012677177232,0.005490338091308459,0.0031060309559275204,0.0018069287823318239,0.0013173049270922452
Human Visual Search as a Deep Reinforcement Learning Solution to a POMDP,"Aditya Acharya, Xiuli Chen, Christopher Myers, Richard Lewis, Andrew Howes,",2017,4.6041585203471274e-4,5.329034372485741e-4,0.0016206770169182305,0.003030808641534127,4.3794046891685586e-4,7.940175419823458e-4,3.6614598824095295e-4,0.003349319482187495,0.03396457670353436,0.0527742379797318,0.017431340425229216,2.2260479675895647e-4,0.15883498102712892,0.042216321278575455,4.5878701417928036e-4,0.2300033561383918,5.267984873083052e-4,0.23624236028786094,4.250688863640484e-4,0.21630733854587364
Executive function and attention predict low-income preschoolers' active category learning,"Katherine A. Adams, George Kachergis,",2017,4.661091919019405e-4,5.745666768635669e-4,0.0012770231529095877,2.777275715442157e-4,0.2071789829448382,2.2304960093857802e-4,0.10447804059726733,2.8725191491493454e-4,8.47265134791542e-4,0.20579037047676182,8.41607203689681e-4,0.005294416518976029,0.17569159346042218,0.26563967111864045,3.3144034195155156e-4,0.0012327613564655044,1.9870646062831673e-4,0.01045971781765312,3.28807308615213e-4,0.018580891150226004
Simulating behavioural interventions for developmental deficits: When improving strengths produces better outcomes than remediating weaknesses,"Hala Alireza, Anna Fedor, Michael Thomas,",2017,0.047834531630846326,0.001019495645262956,0.4714878177778787,0.013849455416920712,0.05594292891360907,0.002264979835882641,0.11689055557535938,9.180800517583456e-5,3.817032346825324e-4,0.0010389096756274268,4.1986481927747376e-4,0.0028101135067278727,0.0017086694486499435,0.0015064502692244347,0.0011425563440527412,4.928655512640701e-4,4.291118129737148e-4,0.28017103707384666,3.1144012300513344e-4,2.0570533973307678e-4
A Bayesian Model of Memory for Text,"Mark Andrews,",2017,0.0014898415083912234,0.0022089950220767944,0.3127199189396786,0.0021127005393565,0.02421372973853503,0.01406966241336039,0.11822656943072286,0.016186168828459305,7.933593438125418e-4,0.17531070193477172,2.2274330660702226e-4,0.0021807975960659006,0.2920068879285522,0.006024115630591551,0.010943604196169741,7.734653117586489e-4,0.007718646850650679,0.0013895100038620982,0.007770174580058627,0.0036384068965183494
Numbers Uniquely Bias Spatial Attention: A Novel Paradigm for Understanding Spatial-Numerical Associations,"Lauren Aulet, Sami Yousif, Stella Lourenco,",2017,0.0011997851786972572,0.007039729349073914,0.0018684713200276802,0.09801846730970988,0.004649725491072519,0.002974724523088748,0.0010578605380338136,0.013939884678556684,0.10217758145806737,0.041061802934709575,0.2564002498429997,8.300378400938709e-4,0.002093807774585983,0.43177135789668536,2.942244047248741e-4,0.004372107679613133,5.894230140022273e-4,0.0027774085000785427,0.022946366274817633,0.003936983991361524
Highly Proficient Bilinguals Maintain the Language-Specific Pragmatic Constraints on Pronouns: Evidence from Speech and Gesture,"Zeynep Azar, International Max Planck Research School for Language Sciences
Ad Backus, Aslı Özyürek, Max Planck Institute for Psycholinguistics
Donders Center for Cognition
",2017,2.55701503769978e-5,1.848555444077743e-4,9.133331588994759e-4,3.553917846640926e-4,5.636715940729755e-4,8.91372054915895e-4,6.112974189766924e-5,7.036018101241339e-5,0.001500821205810684,5.038290603228081e-4,0.009641597095210157,0.983025788357453,3.2981219632223556e-4,2.6807110520809163e-4,6.914006424093427e-4,6.865603807419569e-4,1.2328397893884518e-4,1.2662958018237598e-4,2.4494587021835593e-5,1.2027600131690569e-5
Rise and fall of conflicting intuitions during reasoning,"Bence Bago, Wim De Neys,",2017,7.594032095344558e-4,0.005815265512124206,7.937033895455914e-4,0.001459421759340694,4.0802021911826855e-4,0.006784638376611025,0.005426707208070926,0.3041230091377323,0.05998828278938388,0.06445920034238167,4.7085024095305035e-4,1.4844512954553297e-4,0.0015107183598703413,0.1377502346537649,6.056255528324637e-4,7.316926163857905e-4,5.73435797484988e-4,1.0075752214109654e-4,0.3903826314732032,0.01770795670997583
The Refugees' Dilemma: not all deontological moral choices are of the same kind,"Albert Barque-Duran, Emmanuel Pothos,",2017,0.0014248104947311437,6.02478540330141e-4,2.67777319677178e-4,0.0029159217183548363,0.006386209217090196,3.1998502607824265e-4,0.0018596158719379014,9.286310514146333e-4,0.00121265946724937,0.005212987120113534,4.192770775402838e-4,1.1953318328570662e-4,9.769188141083584e-4,0.041794008603977126,0.0019770086073738523,6.743165273145039e-4,0.611294899548523,5.970707660118636e-4,0.1858955157953156,0.13512037524957282
I know what you need to know: Children's developing theory of mind and pedagogical evidence selection,"Ilona Bass, Elizabeth Bonawitz, Patrick Shafto, Dhaya Ramarajan, Alison Gopnik, Henry Wellman,",2017,0.17735377051990633,6.834280178576201e-4,3.6403860380301465e-4,0.00674420194201351,0.5297567681070976,1.9842322348815453e-4,0.16955222422889246,0.0011549819674263975,1.1024826738658272e-4,8.715372427344466e-4,2.0519565312168098e-4,3.6738095626183604e-4,0.020282788258412534,0.08167836276960555,0.006093431596543644,5.702624083611323e-4,4.650894382480222e-4,9.320411097857542e-4,9.474725789269095e-4,0.0016683531101270843
"Didn't know, or didn't show? Preschoolers consider epistemic state and degree of omission when evaluating teachers","Ilona Bass, Elizabeth Bonawitz, Hyowon Gweon,",2017,0.48698787906122565,3.0296184217990896e-4,1.5233556883025753e-4,9.760042444597026e-4,0.46711764616208407,3.17839784528062e-4,0.002241913651021406,8.250791071524723e-4,3.684122728646309e-5,0.002133000374504519,1.6175066093677447e-4,0.0012700127299873477,0.025071730062136355,5.906735537637665e-4,0.009139718836011754,2.2843632290179807e-4,8.112258082948798e-4,3.4848607516991127e-4,6.543020273225681e-4,6.321629002026031e-4
