"","from","to"
"1","H Godwin","A Robbins"
"2","M Hout","A Robbins"
"3","M Hout","H Godwin"
"4","S Gepshtein","S Gepshtein"
"5","T Welsh","T Welsh"
"6","C Barras","D Kerzel"
"8","U Ansorge","U Ansorge"
"9","S Naito","S Naito"
"10","G Horstmann","G Horstmann"
"12","T Wright","N Roque"
"13","W Boot","N Roque"
"14","W Boot","T Wright"
"15","O Cheung","W Chen"
"16","J Serences","S Itthipuripat"
"17","M Beck","R Goldstein"
"18","K Miller","B Dube"
"19","M Giammarco","B Dube"
"20","M Giammarco","K Miller"
"21","N Al-Aidroos","B Dube"
"22","N Al-Aidroos","K Miller"
"23","N Al-Aidroos","M Giammarco"
"24","A Leber","Y Hong"
"25","J Theeuwes","J Theeuwes"
"26","J Pratt","J Pratt"
"27","K Matsumiya","S Shioiri"
"28","I Kuriki","S Shioiri"
"29","I Kuriki","K Matsumiya"
"30","M Neider","M Neider"
"31","J Song","J Cali"
"32","A Sekuler","J Cali"
"33","A Sekuler","J Song"
"34","P Bennett","J Cali"
"35","P Bennett","J Song"
"36","P Bennett","A Sekuler"
"37","A Johnson","R Ringer"
"38","A Kramer","R Ringer"
"39","A Kramer","A Johnson"
"40","L Loschky","R Ringer"
"41","L Loschky","A Johnson"
"42","L Loschky","A Kramer"
"43","M Bar","M Bar"
"44","D Saunders","W Zoest"
"45","D Melcher","W Zoest"
"46","D Melcher","D Saunders"
"47","B Giesbrecht","J Elliott"
"48","S Vecera","S Vecera"
"52","J Victor","C Chubb"
"53","M Conte","C Chubb"
"54","M Conte","J Victor"
"55","D Aagten-Murphy","N Hanning"
"56","H Deubel","N Hanning"
"57","H Deubel","D Aagten-Murphy"
"58","K Fiehler","K Fiehler"
"59","W Schneider","W Schneider"
"60","H Bowman","H Bowman"
"61","J Zhao","J Zhao"
"62","J Haberman","J Haberman"
"63","S Chung","S Chung"
"64","C Moore","N Jardine"
"65","A Barbot","H Li"
"66","M Carrasco","H Li"
"67","M Carrasco","A Barbot"
"68","A Chan","J Arizpe"
"69","A Khan","L Pisella"
"70","M Beck","K Moen"
"71","S Born","D Kerzel"
"72","H Deubel","D Kerzel"
"73","H Deubel","S Born"
"74","M Szinte","D Kerzel"
"75","M Szinte","S Born"
"76","M Szinte","H Deubel"
"77","S Lourenco","V Ayzenberg"
"78","W Schneider","A Herwig"
"79","D Jonikaitis","D Jonikaitis"
"80","H Bowman","G Swan"
"81","B Wyble","G Swan"
"82","B Wyble","H Bowman"
"83","A Nobre","G Swan"
"84","A Nobre","H Bowman"
"85","A Nobre","B Wyble"
"86","K Shapiro","G Swan"
"87","K Shapiro","H Bowman"
"88","K Shapiro","B Wyble"
"89","K Shapiro","A Nobre"
"90","E Vogel","K Adam"
"91","S Chong","O Cha"
"92","W Ma","D Fougnie"
"93","L Jefferies","L Jefferies"
"94","B Shinn-Cunningham","A Noyce"
"95","D Somers","A Noyce"
"96","D Somers","B Shinn-Cunningham"
"97","J Serences","R Chen"
"98","F Tong","Y Park"
"99","M Persuh","M Persuh"
"100","B Giesbrecht","T Bullock"
"101","J Flombaum","M Schurgin"
"102","R Sekuler","R Sekuler"
"103","R Mruczek","K Killebrew"
"104","M Berryhill","K Killebrew"
"105","M Berryhill","R Mruczek"
"106","M Michel","M Michel"
"107","Z Kaldy","Z Kaldy"
"108","D Fougnie","D Fougnie"
"109","J Johnson","A Lamsweerde"
"110","M Rolfs","S Ohl"
"111","I Utochkin","Y Markov"
"115","S Shomstein","J Nah"
"116","J Brown","B McDunn"
"117","R Hale","B McDunn"
"118","R Hale","J Brown"
"119","J Saiki","J Saiki"
"120","B Breitmeyer","J Jacob"
"121","J Fischer","J Fischer"
"122","A Liberman","K Zhang"
"123","D Whitney","K Zhang"
"124","D Whitney","A Liberman"
"125","M Chun","S Uddenberg"
"126","B Breitmeyer","M Trevino"
"127","B Scholl","S Uddenberg"
"128","A Huk","J Yates"
"129","I Ayhan","I Ayhan"
"130","Y Yotsumoto","Y Murai"
"131","M Terao","I Murakami"
"132","I Motoyoshi","R Nakayama"
"133","T Sato","R Nakayama"
"134","T Sato","I Motoyoshi"
"135","Y Yotsumoto","Y Yotsumoto"
"136","J Hays","D Varakin"
"137","Y Wang","T Zhang"
"138","Y Jiang","T Zhang"
"139","Y Jiang","Y Wang"
"140","M Morrone","M Morrone"
"141","N Chen","F Fang"
"142","T Zhou","F Fang"
"143","T Zhou","N Chen"
"144","B Thompson","F Fang"
"145","B Thompson","N Chen"
"146","B Thompson","T Zhou"
"147","K Visscher","K Visscher"
"148","H Beeck","H Beeck"
"149","A Keil","M Ding"
"150","L Likova","L Cacciamani"
"151","S Nishina","D Kim"
